ID,INSERTED_AT,UPDATED_AT,TRANSACTION_ID,NEW_STATE,TRANSITIONED_AT,_FIVETRAN_DELETED,_FIVETRAN_SYNCED
f33c8b94-ccfb-4146-b1d6-d27535a8da5a,2024-10-11 17:57:00.687 Z,2024-10-11 17:57:00.687 Z,63e79c1c-33d0-4eac-be00-a9a581b23fcb,expired,2024-10-11 17:57:00.687 Z,false,2024-10-11 17:59:43.100 Z
e7f59ad3-38ea-4bff-a9a6-e72e895b96a2,2024-10-11 17:57:01.056 Z,2024-10-11 17:57:01.056 Z,63e79c1c-33d0-4eac-be00-a9a581b23fcb,expired,2024-10-11 17:57:01.056 Z,false,2024-10-11 17:59:43.100 Z
27145902-2214-4024-b121-5c05b541f5af,2024-10-10 19:58:00.343 Z,2024-10-10 19:58:00.343 Z,8207bc0d-5a2d-40b8-933c-9b2bc02e156f,expired,2024-10-10 19:58:00.343 Z,false,2024-10-11 00:00:16.187 Z
4a6d58d0-f3ea-457b-8972-06c4bd5d80bc,2024-10-10 23:44:00.277 Z,2024-10-10 23:44:00.277 Z,80c0f15b-d999-4b16-96c0-f73b906ccad8,expired,2024-10-10 23:44:00.277 Z,false,2024-10-11 00:00:16.191 Z
6c1bfeae-142e-44df-9a36-dd33c014115f,2024-10-10 17:12:00.516 Z,2024-10-10 17:12:00.516 Z,32fa3279-eee7-4d39-90bd-adb3d69d1887,expired,2024-10-10 17:12:00.516 Z,false,2024-10-10 17:59:50.337 Z
e6084962-930c-42b6-b299-02d1f612aaa0,2024-10-10 17:12:01.093 Z,2024-10-10 17:12:01.093 Z,32fa3279-eee7-4d39-90bd-adb3d69d1887,expired,2024-10-10 17:12:01.092 Z,false,2024-10-10 17:59:50.337 Z
8352aa32-c570-4865-8c57-9e4e84498e79,2024-10-10 16:23:00.315 Z,2024-10-10 16:23:00.315 Z,ebabd3c9-3147-4986-ba57-dad18f81528a,expired,2024-10-10 16:23:00.315 Z,false,2024-10-10 17:59:50.337 Z
ef0a2375-c941-415f-b2c7-921381f4916a,2024-10-10 15:45:00.295 Z,2024-10-10 15:45:00.295 Z,2c800bc2-0f6a-482d-b31f-f3df32dd0f05,expired,2024-10-10 15:45:00.295 Z,false,2024-10-10 17:59:50.337 Z
5be2901d-fd56-4dae-a7ae-7afa6eb2b2d9,2024-10-10 16:02:00.465 Z,2024-10-10 16:02:00.465 Z,067edea9-3384-49ee-9da5-dfe43fdd5482,expired,2024-10-10 16:02:00.465 Z,false,2024-10-10 17:59:50.337 Z
19b2c465-eab2-4cbd-b64e-fc3d330f729d,2024-10-10 15:35:00.740 Z,2024-10-10 15:35:00.740 Z,21e37a9b-2799-4aad-b4f1-f37646a70cd7,expired,2024-10-10 15:35:00.740 Z,false,2024-10-10 17:59:50.337 Z
