ID,BID_ID,STATE,TRANSFER_METHOD,INSERTED_AT,COMPANY_ID,NUM_SHARES,PRICE_PER_SHARE,GROSS_PROCEEDS,_FIVETRAN_DELETED,_FIVETRAN_SYNCED
ca22b06c-a67d-47b7-ac26-e5947b231a24,7aac78e1-be1d-4867-8a85-5f230ffd1fc5,cancelled,direct,2024-07-16 14:30:00.579 Z,b26101c2-a987-4071-8cd9-5c5abcd8875b,7418,341,2529538,false,2024-10-09 20:40:47.535 Z
c7543d24-7eaf-42cc-a00d-0e848352f351,4713cec5-7d53-49c3-b501-7b5cfe757cc9,cancelled,direct,2024-07-19 07:24:59.986 Z,50ecd2e9-7bc4-45c5-bb60-d64ff01a8e80,1095,74,81030,false,2024-10-09 20:40:47.580 Z
1715cf07-4e3e-40d7-8019-a9ad6329b3fa,15cf034e-1bbe-4a3f-8af1-619955a8f92d,pending_approval,direct,2024-08-24 00:03:45.346 Z,da3c9b0e-4ce6-4c76-868a-f226a44d7b81,5426,257,1394482,false,2024-10-09 20:40:47.582 Z
064ddef1-b990-467f-a12e-7768bb4ca7b8,5ec972a8-de27-42b4-8c84-ec74d2b75238,pending_approval,direct,2024-08-22 16:39:16.548 Z,85290b11-492b-4971-91d8-8313eb6d8a60,3871,191,739361,false,2024-10-09 20:40:47.579 Z
e76ffa92-3659-4012-b094-8cdc30f0ebbc,9fcc4167-92d9-409f-8a34-faa668cfe502,pending_approval,direct,2024-08-19 21:45:04.374 Z,cd8f2286-8b8f-49cd-b450-ecadc33500d6,2800,146,408800,false,2024-10-09 20:40:47.581 Z
a217279d-4864-44bf-bfc3-e107b32b3824,d89b4532-e142-4b42-b725-909733fe59de,expired,direct,2024-07-15 14:36:00.390 Z,1fc317e8-6f8f-4cf8-a6b4-3040135542a2,522,49,25578,false,2024-10-09 20:40:47.585 Z
6b551b73-8548-4ab7-a9ed-1ae8222e90ae,a39eeb82-1082-4a5d-a0e1-66f559f0f0f9,pending_approval,direct,2024-07-19 23:03:22.752 Z,98fa2c8f-d698-44ef-ad5a-a0d721f85fda,6977,323,2253571,false,2024-10-09 20:40:47.564 Z
4e99283d-d22d-42da-b173-b0ecbb2976cf,f7dc1a4c-a408-4293-b7b2-c8103d389b5d,pending_approval,direct,2024-08-14 07:12:00.683 Z,b6190981-4c28-4543-9a2c-923435f4726b,8360,381,3185160,false,2024-10-09 20:40:47.576 Z
7dd63013-1910-4f4d-af1a-2c75c2798e24,ba5ba91f-f8cb-4266-9ab3-b4419ef31220,cancelled,direct,2024-07-18 01:48:40.755 Z,a41ce6fb-da8a-448e-b316-bce1c891d8cb,2337,126,294462,false,2024-10-09 20:40:47.581 Z
07743bda-f569-436a-9dda-8767513ef4a4,440ae227-4ad6-46b7-829e-84d5f0f8a7eb,pending_approval,direct,2024-07-16 14:03:02.105 Z,9f96e7cb-3825-4c6a-b6be-dbab198d7471,6160,288,1774080,false,2024-10-09 20:40:47.584 Z
